0.536000	0.536000	B
1.118000	1.118000	C
1.132000	1.132000	D
1.695000	1.695000	B
2.275000	2.275000	B
2.858000	2.858000	B
2.888000	2.888000	B
3.433000	3.433000	B
4.015000	4.015000	B
4.045000	4.045000	B
4.592000	4.592000	B
5.172000	5.172000	B
5.185000	5.185000	B
5.203000	5.203000	B
5.755000	5.755000	B
5.767000	5.767000	B
5.787000	5.787000	B
6.333000	6.333000	B
6.912000	6.912000	B
7.493000	7.493000	B
8.073000	8.073000	B
8.654000	8.654000	B
9.220000	9.220000	B
9.807000	9.807000	B
10.391000	10.391000	B
10.403000	10.403000	B
10.958000	10.958000	B
11.546000	11.546000	B
12.121000	12.121000	B
12.708000	12.708000	B
13.279000	13.279000	B
13.855000	13.855000	B
14.441000	14.441000	B
15.024000	15.024000	B
15.614000	15.614000	B
16.176000	16.176000	B
16.763000	16.763000	B
16.795000	16.795000	B
17.343000	17.343000	B
17.922000	17.922000	B
18.490000	18.490000	B
19.078000	19.078000	B
19.108000	19.108000	B
19.660000	19.660000	B
19.673000	19.673000	B
20.229000	20.229000	B
20.818000	20.818000	B
21.399000	21.399000	B
21.431000	21.431000	B
21.973000	21.973000	B
22.560000	22.560000	B
22.569000	22.569000	B
22.587000	22.587000	B
23.125000	23.125000	B
23.712000	23.712000	B
24.289000	24.289000	B
24.293000	24.293000	B
24.309000	24.309000	B
24.862000	24.862000	B
25.452000	25.452000	B
26.028000	26.028000	B
26.064000	26.064000	B
26.613000	26.613000	B
27.193000	27.193000	B
27.759000	27.759000	B
28.348000	28.348000	B
28.930000	28.930000	B
29.504000	29.504000	B
30.082000	30.082000	B
30.669000	30.669000	B
31.250000	31.250000	B
31.829000	31.829000	B
32.402000	32.402000	B
32.981000	32.981000	B
33.564000	33.564000	B
34.134000	34.134000	B
34.175000	34.175000	B
34.715000	34.715000	B
35.298000	35.298000	B
35.883000	35.883000	B
36.457000	36.457000	B
36.493000	36.493000	B
37.038000	37.038000	B
37.074000	37.074000	B
37.613000	37.613000	B
38.193000	38.193000	B
38.775000	38.775000	B
39.351000	39.351000	B
39.939000	39.939000	B
40.511000	40.511000	B
41.097000	41.097000	B
41.664000	41.664000	B
42.243000	42.243000	B
42.285000	42.285000	B
