111.664762	111.664762	Strings
112.210431	112.210431	Going nowhere
112.235290	112.235290	B
112.814290	112.814290	B
113.387290	113.387290	B
113.975290	113.975290	B
114.548290	114.548290	B
115.134290	115.134290	B
115.707290	115.707290	B
116.288290	116.288290	B
116.870290	116.870290	B
117.447290	117.447290	B
118.025290	118.025290	B
118.611290	118.611290	B
119.181290	119.181290	B
119.771290	119.771290	B
120.105215	120.105215	Trumpet
120.337290	120.337290	B
120.918290	120.918290	B
121.507290	121.507290	B
122.072290	122.072290	B
122.658290	122.658290	B
123.235290	123.235290	B
123.564989	123.564989	Going nowhere
123.818290	123.818290	B
124.403290	124.403290	B
124.972290	124.972290	B
125.554290	125.554290	B
126.141290	126.141290	B
126.718290	126.718290	B
127.290290	127.290290	B
127.874290	127.874290	B
127.965170	127.965170	Hit
128.457290	128.457290	B
128.557279	128.557279	Hit
129.035290	129.035290	B
129.126168	129.126168	Hit
129.610290	129.610290	B
130.124626	130.124626	Bass
130.195290	130.195290	B
130.765290	130.765290	B
131.352290	131.352290	B
131.932290	131.932290	B
132.508290	132.508290	B
133.089290	133.089290	B
133.665290	133.665290	B
134.241290	134.241290	B
134.536417	134.536417	You can tell
134.823290	134.823290	B
135.411290	135.411290	B
135.980290	135.980290	B
136.564290	136.564290	B
136.835193	136.835193	Womans man
137.144290	137.144290	B
137.723290	137.723290	B
138.042630	138.042630	No time to talk
138.299290	138.299290	B
138.874290	138.874290	B
139.389388	139.389388	Music
139.463290	139.463290	B
140.046290	140.046290	B
140.620290	140.620290	B
141.200290	141.200290	B
141.757823	141.757823	Kicked around
141.781290	141.781290	B
142.356290	142.356290	B
142.937290	142.937290	B
143.510290	143.510290	B
143.847619	143.847619	Alright
144.095290	144.095290	B
144.671290	144.671290	B
145.255290	145.255290	B
145.322086	145.322086	Ok
145.829290	145.829290	B
146.420290	146.420290	B
146.436644	146.436644	You can look
146.992290	146.992290	B
147.577290	147.577290	B
148.146290	148.146290	B
148.723290	148.723290	B
148.723810	148.723810	We can
149.306290	149.306290	B
149.881290	149.881290	B
150.070567	150.070567	To understand
150.463290	150.463290	B
151.051290	151.051290	B
151.625290	151.625290	B
152.212290	152.212290	B
152.777290	152.777290	B
153.361290	153.361290	B
153.367800	153.367800	Whether
153.949290	153.949290	B
154.519290	154.519290	B
155.100290	155.100290	B
155.678186	155.678186	Stayin alive
155.680290	155.680290	B
156.263290	156.263290	B
156.848290	156.848290	B
156.966893	156.966893	Stayin alive
157.412290	157.412290	B
157.995290	157.995290	B
158.058231	158.058231	Feel the city
158.585290	158.585290	B
159.160290	159.160290	B
159.735290	159.735290	B
160.320290	160.320290	B
160.473107	160.473107	Stayin alive
160.894290	160.894290	B
161.482290	161.482290	B
161.564444	161.564444	stayin alive
162.050290	162.050290	B
162.632290	162.632290	B
162.748662	162.748662	Haha
163.220290	163.220290	B
163.795290	163.795290	B
164.376290	164.376290	B
164.947290	164.947290	B
165.035828	165.035828	Stayin alive
165.528290	165.528290	B
166.117290	166.117290	B
166.243265	166.243265	Stayin alive
166.690290	166.690290	B
167.262290	167.262290	B
167.369433	167.369433	Haha
167.852290	167.852290	B
168.419290	168.419290	B
169.004290	169.004290	B
169.583290	169.583290	B
169.621769	169.621769	Stayin alive (long)
170.166290	170.166290	B
170.742290	170.742290	B
171.322290	171.322290	B
171.901290	171.901290	B
172.488290	172.488290	B
173.062290	173.062290	B
173.643290	173.643290	B
174.225290	174.225290	B
174.801290	174.801290	B
175.384290	175.384290	B
175.955290	175.955290	B
176.541290	176.541290	B
176.576145	176.576145	Piano
177.121290	177.121290	B
177.690290	177.690290	B
178.015782	178.015782	Yeah
178.278290	178.278290	B
178.855290	178.855290	B
179.107120	179.107120	Bass
179.436290	179.436290	B
180.014290	180.014290	B
180.595290	180.595290	B
181.174290	181.174290	B
181.757290	181.757290	B
182.327290	182.327290	B
182.911290	182.911290	B
183.135782	183.135782	Hit
